Id,User,Host,db,Command,Time,State,Info,Progress
76998,medaviebcca,10.0.46.107:40620,NULL,Sleep,318,,NULL,0.000
76999,medaviebcca,10.0.46.107:40622,NULL,Query,0,init,"show full processlist",0.000
77409,medaviebcca,10.0.46.107:41600,medaviebccaprod,Sleep,1,,NULL,0.000
77419,medaviebcca,10.0.46.107:41620,medaviebccaprod,Sleep,0,,NULL,0.000
77420,medaviebcca,10.0.46.107:41622,medaviebccaprod,Sleep,0,,NULL,0.000
77421,medaviebcca,10.0.46.107:41624,medaviebccaprod,Query,0,init,"SELECT `elements`.`id`, `elements`.`type`, `elements`.`enabled`, `elements`.`archived`, `elements`.`dateCreated`, `elements`.`dateUpdated`, `elements_i18n`.`slug`, `elements_i18n`.`uri`, `elements_i18n`.`enabled` AS `localeEnabled`, `content`.`id` AS `contentId`, `content`.`title`, `content`.`field_bottomCenterColumnLink`, `content`.`field_editingComments`, `content`.`field_anotherColourTest`, `content`.`field_accessCode`, `content`.`field_accessCodeInvalidErrorMessage`, `content`.`field_accessCodePrompt`, `content`.`field_accessCodeRequiredErrorMessage`, `content`.`field_accordianColor`, `content`.`field_addFamilyRate`, `content`.`field_addSingleRate`, `content`.`field_adminLabel`, `content`.`field_adminLink`, `content`.`field_advisorResourcesLabel`, `content`.`field_alignment`, `content`.`field_allPostsLabel`, `content`.`field_allSelectionLabel`, `content`.`field_amountSpent`, `content`.`field_anchorImageOptions`, `content`.`field_androidStoreDownloadLink`, `content`.`field_annualCost`, `content`.`field_salaryError`, `content`.`field_answer`, `content`.`field_appleStoreDownloadLink`, `content`.`field_applyNowButtonLabel`, `content`.`field_attachResume`, `content`.`field_authorLocation`, `content`.`field_autoplay`, `content`.`field_autoplayInterval`, `content`.`field_averageAnnualSalary`, `content`.`field_benefitTypeLabel`, `content`.`field_blogButton`, `content`.`field_bottomCenterColumnHeader`, `content`.`field_bottomCenterColumnText`, `content`.`field_bottomLeftColumnHeader`, `content`.`field_bottomLeftColumnLink`, `content`.`field_bottomLeftColumnText`, `content`.`field_bottomRightColumnText`, `content`.`field_bottomRightColumnHeader`, `content`.`field_bottomRightColumnLink`, `content`.`field_businessAddress`, `content`.`field_buttonLabel`, `content`.`field_buttonLink`, `content`.`field_buttonLinkPrimary`, `content`.`field_buttonLinkThree`, `content`.`field_buttonLinkTwo`, `content`.`field_buttonRadius`, `content`.`field_buttonStyle`, `content`.`field_buttonText`, `content`.`field_calloutFontColour`, `content`.`field_canadaTop100Link`, `content`.`field_canadasTop100EmployersLink`, `content`.`field_careerOpportunityLabel`, `content`.`field_careersLabel`, `content`.`field_careersLink`, `content`.`field_careersSEODescription`, `content`.`field_cashSurrenderDescription`, `content`.`field_cashSurrenderLabel`, `content`.`field_cashSurrenderValue`, `content`.`field_categoriesLabel`, `content`.`field_rxCategory`, `content`.`field_rxCategoryFr`, `content`.`field_centerColumnHeader`, `content`.`field_centerColumnLink`, `content`.`field_outlineCenter`, `content`.`field_centerColumnText`, `content`.`field_centeredOrFullScreen`, `content`.`field_challengeColours`, `content`.`field_challengePointBrackets`, `content`.`field_challengeTable`, `content`.`field_checkOut`, `content`.`field_chemicalName`, `content`.`field_rxChemicalName`, `content`.`field_choose`, `content`.`field_chooseNavSpacing`, `content`.`field_chooseOptionOne`, `content`.`field_chooseOptionTwo`, `content`.`field_clientAbbreviation`, `content`.`field_clientMessage`, `content`.`field_clientProgramType`, `content`.`field_clientTypeLabel`, `content`.`field_closeFiltersDescription`, `content`.`field_closeMenuDescription`, `content`.`field_columnAccentColour`, `content`.`field_columnBackgroundColour`, `content`.`field_columnFontSize`, `content`.`field_addDivider`, `content`.`field_columnWidths`, `content`.`field_rxComment`, `content`.`field_commentsFr`, `content`.`field_rxCommentFr`, `content`.`field_comments`, `content`.`field_mapComparatorCost`, `content`.`field_compensationToggle`, `content`.`field_competitionEndDateLabel`, `content`.`field_competitionNumber`, `content`.`field_competitionNumberLabel`, `content`.`field_competitionNumberLabelResumeForm`, `content`.`field_competitionOpenFromLabel`, `content`.`field_competitionTitle`, `content`.`field_connectWith`, `content`.`field_contactUsLabel`, `content`.`field_contactUsLink`, `content`.`field_convertibleDescription`, `content`.`field_convertibleLabel`, `content`.`field_convertibleValue`, `content`.`field_costOfAbsenteeism`, `content`.`field_costOfDrugs`, `content`.`field_productivityLoss`, `content`.`field_mapComparatorCostFr`, `content`.`field_mapEstimatedCostFr`, `content`.`field_criteriaFr`, `content`.`field_criteria`, `content`.`field_customCompensation`, `content`.`field_customMobilePaddingBottom`, `content`.`field_customMobilePaddingTop`, `content`.`field_customNavColour`, `content`.`field_customNavLink`, `content`.`field_customNavLogoLink`, `content`.`field_customPaddingBottom`, `content`.`field_customPaddingLeft`, `content`.`field_customPaddingRight`, `content`.`field_customPaddingTop`, `content`.`field_customPositionDuration`, `content`.`field_mapDecision`, `content`.`field_mapDecisionFr`, `content`.`field_mapDecisionCodeDropDown`, `content`.`field_mapDecisionDate`, `content`.`field_defaultCompensationText`, `content`.`field_dentalBenefitsTable`, `content`.`field_description`, `content`.`field_diabetesProviderTabText`, `content`.`field_diabetesProviderTabTitle`, `content`.`field_disclaimer`, `content`.`field_documentTypeLabel`, `content`.`field_downloadHeading`, `content`.`field_dropdownLabel`, `content`.`field_dropdownValue`, `content`.`field_drugBenefitsTable`, `content`.`field_drugName`, `content`.`field_mapDrugName`, `content`.`field_rxDrugNameFr`, `content`.`field_editingHelper`, `content`.`field_emailAddressError`, `content`.`field_emailAddress`, `content`.`field_emailPlaceholderText`, `content`.`field_endDate`, `content`.`field_endDateHeaderResumeForm`, `content`.`field_mapEstimatedCost`, `content`.`field_experienceLabel`, `content`.`field_experienceOptionFour`, `content`.`field_experienceOptionOne`, `content`.`field_experienceOptionThree`, `content`.`field_experienceOptionTwo`, `content`.`field_faceAmountDescription`, `content`.`field_faceAmountLabel`, `content`.`field_faceAmountValue`, `content`.`field_facebookLink`, `content`.`field_filtersLabel`, `content`.`field_firstName`, `content`.`field_firstNameError`, `content`.`field_campaignBackgroundColor`, `content`.`field_faIcon`, `content`.`field_fontColor`, `content`.`field_footerInfo`, `content`.`field_footerText`, `content`.`field_formsLabel`, `content`.`field_formsLink`, `content`.`field_frenchLanguageSkillsLabel`, `content`.`field_fromDate`, `content`.`field_fromDateToDateLabel`, `content`.`field_fullMenuDescription`, `content`.`field_genericError`, `content`.`field_genericLink`, `content`.`field_genericRichTextFour`, `content`.`field_genericRichTextOne`, `content`.`field_genericRichTextThree`, `content`.`field_genericRichTextTwo`, `content`.`field_genericTextFive`, `content`.`field_genericTextFour`, `content`.`field_genericTextOne`, `content`.`field_genericTextThree`, `content`.`field_genericTextTwo`, `content`.`field_googlePlus`, `content`.`field_govResults`, `content`.`field_govResultsLink`, `content`.`field_governmentLoginHelpLink`, `content`.`field_governmentLoginLink`, `content`.`field_govermentLoginPanelText`, `content`.`field_govermentLoginPanelTitle`, `content`.`field_guaranteedLevelPremiumsDescription`, `content`.`field_guaranteedLevelPremiumsLabel`, `content`.`field_guaranteedLevelPremiumsValue`, `content`.`field_guaranteedRenewableDescription`, `content`.`field_guaranteedRenewableLabel`, `content`.`field_guaranteedRenewableValue`, `content`.`field_hashtagOrHandle`, `content`.`field_header`, `content`.`field_headerSecondaryText`, `content`.`field_healthBenefitsTable`, `content`.`field_helpLink`, `content`.`field_hideFromSearchResults`, `content`.`field_showOptional`, `content`.`field_wufooHeaderToggle`, `content`.`field_mapDecisionCode`, `content`.`field_mapDecisionExplination`, `content`.`field_homepageDescription`, `content`.`field_howDidYouHear`, `content`.`field_iconColor`, `content`.`field_iconLibrarySelector`, `content`.`field_imagePosition`, `content`.`field_imageSizer`, `content`.`field_imageStackPosition`, `content`.`field_immediateDeathBenefitDescription`, `content`.`field_immediateDeathBenefitLabel`, `content`.`field_immediateDeathBenefitValue`, `content`.`field_mapIndication`, `content`.`field_mapIndicationFr`, `content`.`field_makeLinkLeft`, `content`.`field_isResolved`, `content`.`field_makeLinkRight`, `content`.`field_resourceType`, `content`.`field_issueAgesDescription`, `content`.`field_issueAgesLabel`, `content`.`field_issueAgesValue`, `content`.`field_issueResolvedTime`, `content`.`field_jobPostingButton`, `content`.`field_jobPostingButtonLabel`, `content`.`field_jobPostingFooterText`, `content`.`field_landerDateFour`, `content`.`field_landerDateOne`, `content`.`field_landerDateThree`, `content`.`field_landerDateTwo`, `content`.`field_landerHeaderFour`, `content`.`field_landerHeaderOne`, `content`.`field_landerHeaderThree`, `content`.`field_landerHeaderTwo`, `content`.`field_landerIconFour`, `content`.`field_landerIconOne`, `content`.`field_landerIconThree`, `content`.`field_landerIconTwo`, `content`.`field_landerLinkFour`, `content`.`field_landerLinkOne`, `content`.`field_landerLinkThree`, `content`.`field_landerLinkTwo`, `content`.`field_languageOptionOne`, `content`.`field_languageOptionThree`, `content`.`field_languageOptionTwo`, `content`.`field_languageTogglerLabel`, `content`.`field_lastName`, `content`.`field_lastNameError`, `content`.`field_latestOrFeatured`, `content`.`field_leftColumnHeader`, `content`.`field_leftColumnLink`, `content`.`field_outlineLeft`, `content`.`field_leftColumnStyle`, `content`.`field_leftColumnText`, `content`.`field_leftColumnTextAlignment`, `content`.`field_lightswitch`, `content`.`field_linkToFeaturedArticle`, `content`.`field_linkedinLink`, `content`.`field_locationHeaderResumeForm`, `content`.`field_locatorInvalidInputErrorMessage`, `content`.`field_loginButtonLabel`, `content`.`field_loginLabel`, `content`.`field_lungProviderTabText`, `content`.`field_lungProviderTabTitle`, `content`.`field_mainInfo`, `content`.`field_makeBlocksLinks`, `content`.`field_rxMAC`, `content`.`field_medavieEmployee`, `content`.`field_medavieHealthFoundationLink`, `content`.`field_medavieIcon`, `content`.`field_medicalExamDescription`, `content`.`field_medicalExamLabel`, `content`.`field_medicalExamValue`, `content`.`field_medicalQuestionnaireDescription`, `content`.`field_medicalQuestionnaireLabel`, `content`.`field_medicalQuestionnaireValue`, `content`.`field_memberResourcesLabel`, `content`.`field_membersButton`, `content`.`field_menuLabel`, `content`.`field_minimumPremiumAmountDescription`, `content`.`field_minimumPremiumAmountLabel`, `content`.`field_minimumPremiumAmountValue`, `content`.`field_mustAuthenticateJWT`, `content`.`field_rxName`, `content`.`field_newsButton`, `content`.`field_newsLink`, `content`.`field_noAccountText`, `content`.`field_noLabel`, `content`.`field_noResults`, `content`.`field_noResultsErrorMessage`, `content`.`field_noResultsLink`, `content`.`field_noResultsNoLink`, `content`.`field_chemicalNameFr`, `content`.`field_rxChemicalNameFr`, `content`.`field_drugNameFr`, `content`.`field_notSureText`, `content`.`field_numberOfColumns`, `content`.`field_numberOfEmployees`, `content`.`field_employeesMessage`, `content`.`field_chronicNumber`, `content`.`field_numberOfQuestionsDisplayed`, `content`.`field_numberOfRelatedposts`, `content`.`field_numberOfRows`, `content`.`field_sickDays`, `content`.`field_numberOfUpdates`, `content`.`field_numericError`, `content`.`field_optionalAdDRates`, `content`.`field_optionalNelsMaxsDiscounts`, `content`.`field_optionalCriticalIllnessChildRate`, `content`.`field_optionalCriticalIllnessRates`, `content`.`field_optionalLifeAndAdDChildRate`, `content`.`field_optionalLifeRates`, `content`.`field_optionalRiders`, `content`.`field_optionalRidersAvailableLabel`, `content`.`field_optionalRidersAvailableValue`, `content`.`field_orderOfAppearance`, `content`.`field_otherLabel`, `content`.`field_ourWriters`, `content`.`field_overlayStyle`, `content`.`field_pageResultsHeading`, `content`.`field_paginationDescription`, `content`.`field_passwordLabel`, `content`.`field_passwordPlaceholderText`, `content`.`field_passwordRequiredErrorMessage`, `content`.`field_pastEmployeeOption`, `content`.`field_paymentFrequencyLabel`, `content`.`field_phoneNumber`, `content`.`field_plainText`, `content`.`field_planAdministratorsLoginPanelText`, `content`.`field_planAdministratorsLoginHelpLink`, `content`.`field_planAdministratorsLoginLink`, `content`.`field_planAdministratorsLoginPanelTitle`, `content`.`field_planMembersLoginLink`, `content`.`field_planMembersLoginPanelText`, `content`.`field_planMembersRegisterLink`, `content`.`field_planMembersLoginPanelTitle`, `content`.`field_planTypeLabel`, `content`.`field_podcastAuthor`, `content`.`field_portalLink`, `content`.`field_positionDurationDropdown`, `content`.`field_positionDurationToggle`, `content`.`field_postedLabel`, `content`.`field_preferredLocation`, `content`.`field_previewText`, `content`.`field_searchPreviewText`, `content`.`field_productTable`, `content`.`field_productTypeLabel`, `content`.`field_promoBannerLink`, `content`.`field_protectedPage`, `content`.`field_protectedPagePassword`, `content`.`field_providerCareType`, `content`.`field_providersLoginPanelTitle`, `content`.`field_providerResourcesLabel`, `content`.`field_providerTitle`, `content`.`field_providerTypeLabel`, `content`.`field_providersButton`, `content`.`field_providersLoginHelpLink`, `content`.`field_providersLoginLink`, `content`.`field_providersLoginPanelText`, `content`.`field_providersRegisterLink`, `content`.`field_telephonicCoaching`, `content`.`field_publishingState`, `content`.`field_question`, `content`.`field_questionLink`, `content`.`field_readLessText`, `content`.`field_readMoreText`, `content`.`field_referredByLabel`, `content`.`field_rxRefund`, `content`.`field_regionChoice`, `content`.`field_regionLabel`, `content`.`field_relatedPostsLabel`, `content`.`field_removeBottomPadding`, `content`.`field_removeTopPadding`, `content`.`field_requiredError`, `content`.`field_resourceHowToText`, `content`.`field_resourceUrl`, `content`.`field_responding`, `content`.`field_restrictedButtonText`, `content`.`field_restrictedPageCheckboxText`, `content`.`field_restrictedPageHeader`, `content`.`field_restrictedPlaceholder`, `content`.`field_postEnvironment`, `content`.`field_richTextWithColour`, `content`.`field_rightColumnHeader`, `content`.`field_rightColumnLink`, `content`.`field_outlineRight`, `content`.`field_rightColumnStyle`, `content`.`field_rightColumnText`, `content`.`field_rightColumnTextAlignment`, `content`.`field_role`, `content`.`field_roleBasedInLabel`, `content`.`field_roleBasedInOrLabel`, `content`.`field_searchLabel`, `content`.`field_searchPlaceholder`, `content`.`field_searchResultsHeading`, `content`.`field_backgroundColor`, `content`.`field_showDividerDefaultOn`, `content`.`field_showDivider`, `content`.`field_seomaticTemplateField`, `content`.`field_showComments`, `content`.`field_showCustomNavLinks`, `content`.`field_showLargeIcon`, `content`.`field_displayReadMeLink`, `content`.`field_showNav`, `content`.`field_showcaseEntryType`, `content`.`field_skipToMainContentLabel`, `content`.`field_spendAmount`, `content`.`field_startDate`, `content`.`field_staticOverlayStyle`, `content`.`field_subfooterText`, `content`.`field_subHeader`, `content`.`field_submitButtonLabel`, `content`.`field_submitButtonText`, `content`.`field_systemErrorMessage`, `content`.`field_termLifeOverview`, `content`.`field_termOrWholeLifeLabel`, `content`.`field_termOrWholeLifeValue`, `content`.`field_text`, `content`.`field_threeColumnStyleOptions`, `content`.`field_threeColumnTable`, `content`.`field_rxTier`, `content`.`field_time`, `content`.`field_titleHeaderResumeForm`, `content`.`field_toDate`, `content`.`field_toggleTopPadding`, `content`.`field_topCenterColumnHeader`, `content`.`field_topCenterColumnLink`, `content`.`field_topCenterColumnText`, `content`.`field_topLeftColumnHeader`, `content`.`field_topLeftColumnLink`, `content`.`field_topLeftColumnText`, `content`.`field_topMenuDescription`, `content`.`field_topQuestionsLabel`, `content`.`field_topRelatedQuestionsLabel`, `content`.`field_topRightColumnHeader`, `content`.`field_topRightColumnLink`, `content`.`field_topRightColumnText`, `content`.`field_transcriptLabel`, `content`.`field_twitterLink`, `content`.`field_twoOrThreeColumns`, `content`.`field_typeOfPosition`, `content`.`field_underwritingLabel`, `content`.`field_underwritingValue`, `content`.`field_showFooter`, `content`.`field_usernameLabel`, `content`.`field_usernamePlaceholderText`, `content`.`field_usernameRequiredErrorMessage`, `content`.`field_viewMoreLink`, `content`.`field_vimeoLink`, `content`.`field_websiteLink`, `content`.`field_wellWidth`, `content`.`field_whatYouNeedToKnow`, `content`.`field_wholeLifeOverview`, `content`.`field_wufooCode`, `content`.`field_yearLabel`, `content`.`field_yesLabel`, `entries`.`sectionId`, `entries`.`typeId`, `entries`.`authorId`, `entries`.`postDate`, `entries`.`expiryDate`, `structureelements`.`root`, `structureelements`.`lft`, `structureelements`.`rgt`, `structureelements`.`level`
FROM `craft_elements` `elements`
JOIN `craft_elements_i18n` `elements_i18n` ON elements_i18n.elementId = elements.id
JOIN `craft_content` `content` ON content.elementId = elements.id
JOIN `craft_entries` `entries` ON entries.id = elements.id
JOIN `craft_sections` `sections` ON sections.id = entries.sectionId
LEFT JOIN `craft_structures` `structures` ON structures.id = sections.structureId
LEFT JOIN `craft_structureelements` `structureelements` ON (structureelements.structureId = structures.id) AND (structureelements.elementId = entries.id)
WHERE (((((elements_i18n.locale = 'fr') AND (content.locale = 'fr')) AND (`elements`.`id` IN ('2'))) AND (elements.archived = 0)) AND ((elements.enabled = 1) AND (elements_i18n.enabled = 1) AND (entries.postDate <= '2020-07-08 19:09:53') AND ((entries.expiryDate is null) OR (entries.expiryDate > '2020-07-08 19:09:53')))) AND (elements_i18n.enabled = 1)
GROUP BY `elements`.`id`
ORDER BY `lft`, `postDate` DESC LIMIT 1",0.000
77422,medaviebcca,10.0.46.107:41626,medaviebccaprod,Sleep,0,,NULL,0.000
77423,medaviebcca,10.0.46.107:41628,medaviebccaprod,Sleep,2,,NULL,0.000
77424,medaviebcca,10.0.46.107:41630,medaviebccaprod,Sleep,2,,NULL,0.000
77425,medaviebcca,10.0.46.107:41632,medaviebccaprod,Sleep,2,,NULL,0.000
77427,medaviebcca,10.0.46.107:41636,medaviebccaprod,Sleep,1,,NULL,0.000
77428,medaviebcca,10.0.46.107:41638,medaviebccaprod,Sleep,1,,NULL,0.000
77429,medaviebcca,10.0.46.107:41642,medaviebccaprod,Sleep,0,,NULL,0.000
77431,medaviebcca,10.0.46.107:41648,medaviebccaprod,Sleep,0,,NULL,0.000
